subfolder,candidate_file,mcc_norm,energy
0,structure_11.bpseq,0.643853,-11.118609
0,structure_15.bpseq,0.399496,-14.838450
0,structure_18.bpseq,0.358150,-13.283510
0,structure_2.bpseq,0.882780,-10.924399
0,structure_21.bpseq,0.687101,-13.436820
0,structure_23.bpseq,0.365231,-13.136790
0,structure_25.bpseq,0.530420,-15.441820
0,structure_28.bpseq,0.455090,-19.883950
0,structure_4.bpseq,0.437960,-11.348412
0,structure_6.bpseq,0.597092,-14.693470
1,structure_1.bpseq,0.580090,-5.468700
1,structure_10.bpseq,0.623168,-9.965100
1,structure_12.bpseq,0.769480,-10.477540
1,structure_14.bpseq,0.729532,-6.119200
1,structure_17.bpseq,0.583059,-11.742660
1,structure_19.bpseq,0.636002,-11.632140
1,structure_21.bpseq,0.459360,-17.854110
1,structure_3.bpseq,0.973381,-5.167000
1,structure_5.bpseq,0.452797,-12.665500
1,structure_7.bpseq,0.608465,-10.624000
2,structure_1.bpseq,0.823644,-7.104800
2,structure_12.bpseq,0.766567,-8.320036
2,structure_14.bpseq,0.589406,-14.291850
2,structure_17.bpseq,0.432768,-16.713280
2,structure_19.bpseq,0.540169,-12.659940
2,structure_21.bpseq,0.594599,-11.727520
2,structure_3.bpseq,0.208348,-14.115680
2,structure_5.bpseq,0.553030,-9.835904
2,structure_7.bpseq,0.590922,-8.207210
2,structure_9.bpseq,0.560676,-8.677193
3,structure_1.bpseq,0.892581,-6.699790
3,structure_10.bpseq,0.589730,-13.961050
3,structure_11.bpseq,0.453461,-12.184580
3,structure_13.bpseq,0.507527,-13.115000
3,structure_14.bpseq,0.612807,-13.259190
3,structure_15.bpseq,0.405622,-17.362970
3,structure_18.bpseq,0.482919,-7.701800
3,structure_3.bpseq,0.559284,-7.359750
3,structure_5.bpseq,0.441279,-10.791193
3,structure_7.bpseq,0.598916,-9.161480
4,structure_1.bpseq,0.630784,-6.965880
4,structure_10.bpseq,0.576533,-11.880380
4,structure_11.bpseq,0.606727,-12.920090
4,structure_2.bpseq,0.654300,-6.859150
4,structure_3.bpseq,0.497415,-8.966720
4,structure_5.bpseq,0.224759,-5.001806
4,structure_6.bpseq,0.611993,-10.385360
4,structure_7.bpseq,0.636482,-11.142560
4,structure_8.bpseq,0.669312,-10.813620
4,structure_9.bpseq,0.623633,-11.506500
5,structure_1.bpseq,0.918116,-5.898770
5,structure_11.bpseq,0.603551,-12.207130
5,structure_13.bpseq,0.269044,-21.363800
5,structure_16.bpseq,0.553030,-9.795490
5,structure_18.bpseq,0.681149,-11.357848
5,structure_21.bpseq,0.627740,-12.538760
5,structure_22.bpseq,0.745773,-9.561720
5,structure_3.bpseq,0.753944,-6.904790
5,structure_5.bpseq,0.632948,-5.523510
5,structure_8.bpseq,0.454190,-12.035137
6,structure_1.bpseq,0.645443,-10.615340
6,structure_10.bpseq,0.203352,-10.646470
6,structure_11.bpseq,0.197275,-16.096800
6,structure_13.bpseq,0.416741,-12.636920
6,structure_16.bpseq,0.270584,-13.481610
6,structure_19.bpseq,0.451843,-13.224980
6,structure_3.bpseq,0.415385,-13.019590
6,structure_5.bpseq,0.455331,-13.685840
6,structure_7.bpseq,0.429325,-10.786670
6,structure_9.bpseq,0.144430,-9.507020
7,structure_1.bpseq,0.867406,-5.767200
7,structure_12.bpseq,0.601285,-13.109610
7,structure_14.bpseq,0.470434,-8.784000
7,structure_16.bpseq,0.450724,-11.568300
7,structure_18.bpseq,0.585434,-14.103730
7,structure_21.bpseq,0.583391,-16.629150
7,structure_23.bpseq,0.594609,-15.471310
7,structure_3.bpseq,0.660385,-6.900700
7,structure_6.bpseq,0.434133,-8.031400
7,structure_9.bpseq,0.715364,-11.136000
8,structure_1.bpseq,0.634013,-6.211030
8,structure_11.bpseq,0.408570,-12.867380
8,structure_13.bpseq,0.385417,-14.158740
8,structure_16.bpseq,0.640277,-13.817730
8,structure_18.bpseq,0.187171,-16.019320
8,structure_2.bpseq,0.388495,-7.014610
8,structure_20.bpseq,0.384863,-13.302480
8,structure_4.bpseq,0.670463,-11.703946
8,structure_6.bpseq,0.597720,-10.570895
8,structure_9.bpseq,0.628700,-17.129160
9,structure_1.bpseq,0.968961,-9.759080
9,structure_2.bpseq,0.690196,-7.315700
9,structure_3.bpseq,0.452542,-7.241440
9,structure_4.bpseq,0.724856,-7.311820
9,structure_5.bpseq,0.370901,-11.445810
