subfolder,candidate_file,mcc_norm,energy
0,structure_15.bpseq,0.523170,-25.708400
0,structure_19.bpseq,0.412749,-20.258310
0,structure_32.bpseq,0.512535,-23.035000
0,structure_38.bpseq,0.523170,-27.899400
0,structure_51.bpseq,0.551854,-21.931900
0,structure_60.bpseq,0.497671,-26.230500
0,structure_64.bpseq,0.425215,-32.774700
0,structure_66.bpseq,0.408219,-28.116700
0,structure_69.bpseq,0.389655,-29.984700
0,structure_83.bpseq,0.417229,-32.832700
1,structure_17.bpseq,0.308850,-24.420670
1,structure_26.bpseq,0.322685,-23.103570
1,structure_3.bpseq,0.359247,-17.754320
1,structure_31.bpseq,0.291110,-17.709380
1,structure_45.bpseq,0.322685,-21.366770
1,structure_59.bpseq,0.452372,-29.190970
1,structure_61.bpseq,0.313948,-26.771470
1,structure_77.bpseq,0.439029,-28.402970
1,structure_9.bpseq,0.423850,-28.344170
1,structure_92.bpseq,0.428903,-26.453370
2,structure_1.bpseq,0.427768,-13.032254
2,structure_11.bpseq,0.498120,-28.305200
2,structure_25.bpseq,0.526133,-26.487900
2,structure_40.bpseq,0.439029,-21.118050
2,structure_45.bpseq,0.444074,-17.959480
2,structure_49.bpseq,0.400077,-27.466900
2,structure_5.bpseq,0.494471,-22.201240
2,structure_67.bpseq,0.528023,-31.353500
2,structure_8.bpseq,0.530444,-17.746980
2,structure_85.bpseq,0.285347,-24.560200
3,structure_10.bpseq,0.353924,-18.409555
3,structure_27.bpseq,0.301631,-28.034500
3,structure_36.bpseq,0.306985,-21.381080
3,structure_42.bpseq,0.599512,-24.063730
3,structure_50.bpseq,0.468608,-31.235800
3,structure_53.bpseq,0.574177,-25.914120
3,structure_63.bpseq,0.425756,-28.016400
3,structure_67.bpseq,0.498142,-33.152500
3,structure_69.bpseq,0.305786,-24.045450
3,structure_73.bpseq,0.348635,-30.333000
4,structure_100.bpseq,0.372219,-33.417100
4,structure_15.bpseq,0.466414,-22.687750
4,structure_26.bpseq,0.512388,-24.795000
4,structure_35.bpseq,0.550703,-25.438200
4,structure_38.bpseq,0.523149,-26.504500
4,structure_40.bpseq,0.400407,-28.992000
4,structure_60.bpseq,0.360657,-25.734000
4,structure_65.bpseq,0.413111,-22.750470
4,structure_68.bpseq,0.548266,-20.966820
4,structure_94.bpseq,0.553464,-28.960400
5,structure_18.bpseq,0.401718,-15.430440
5,structure_30.bpseq,0.356499,-20.099960
5,structure_49.bpseq,0.291866,-24.349460
5,structure_54.bpseq,0.366964,-29.092200
5,structure_56.bpseq,0.354664,-27.191230
5,structure_58.bpseq,0.332011,-29.308600
5,structure_72.bpseq,0.239742,-26.156120
5,structure_78.bpseq,0.392152,-26.360190
5,structure_80.bpseq,0.253769,-24.900560
